Row Labels,OJ,Grand Total,day of week,numerical,weekend,# of Boxes,Rounded # of Boxes,,
2/13/2016,68,68,Saturday,6,1,2.833333333,3,,
2/15/2016,27,27,Monday,1,0,1.125,1,,
2/16/2016,46,46,Tuesday,2,0,1.916666667,2,,
2/17/2016,42,42,Wednesday,3,0,1.75,2,,
2/18/2016,41,41,Thursday,4,0,1.708333333,2,,
2/19/2016,38,38,Friday,5,1,1.583333333,2,,
2/20/2016,51,51,Saturday,6,1,2.125,2,,
2/22/2016,23,23,Monday,1,0,0.958333333,1,,
2/23/2016,24,24,Tuesday,2,0,1,1,,
2/24/2016,36,36,Wednesday,3,0,1.5,2,,
2/25/2016,40,40,Thursday,4,0,1.666666667,2,,
2/26/2016,42,42,Friday,5,1,1.75,2,,
2/27/2016,67,67,Saturday,6,1,2.791666667,3,,
2/29/2016,29,29,Monday,1,0,1.208333333,1,,
3/1/2016,31,31,Tuesday,2,0,1.291666667,1,,
3/2/2016,27,27,Wednesday,3,0,1.125,1,,
3/3/2016,39,39,Thursday,4,0,1.625,2,,
3/4/2016,36,36,Friday,5,1,1.5,2,,
3/5/2016,74,74,Saturday,6,1,3.083333333,3,,
3/7/2016,38,38,Monday,1,0,1.583333333,2,,
3/8/2016,43,43,Tuesday,2,0,1.791666667,2,,
3/9/2016,44,44,Wednesday,3,0,1.833333333,2,,
3/10/2016,64,64,Thursday,4,0,2.666666667,3,,
3/11/2016,45,45,Friday,5,1,1.875,2,,
3/12/2016,85,85,Saturday,6,1,3.541666667,4,,
3/14/2016,33,33,Monday,1,0,1.375,1,,
3/15/2016,28,28,Tuesday,2,0,1.166666667,1,,
3/16/2016,26,26,Wednesday,3,0,1.083333333,1,,
3/17/2016,42,42,Thursday,4,0,1.75,2,,
3/18/2016,52,52,Friday,5,1,2.166666667,2,,
3/19/2016,57,57,Saturday,6,1,2.375,2,,
3/21/2016,43,43,Monday,1,0,1.791666667,2,,
3/22/2016,29,29,Tuesday,2,0,1.208333333,1,,
3/23/2016,36,36,Wednesday,3,0,1.5,2,,
3/24/2016,35,35,Thursday,4,0,1.458333333,1,,
3/25/2016,55,55,Friday,5,1,2.291666667,2,,
3/26/2016,67,67,Saturday,6,1,2.791666667,3,,
3/28/2016,20,20,Monday,1,0,0.833333333,1,,
3/29/2016,29,29,Tuesday,2,0,1.208333333,1,,
3/30/2016,22,22,Wednesday,3,0,0.916666667,1,,
3/31/2016,30,30,Thursday,4,0,1.25,1,,
4/1/2016,55,55,Friday,5,1,2.291666667,2,,
4/2/2016,68,68,Saturday,6,1,2.833333333,3,,
4/4/2016,35,35,Monday,1,0,1.458333333,1,,
4/5/2016,36,36,Tuesday,2,0,1.5,2,,
4/6/2016,32,32,Wednesday,3,0,1.333333333,1,,
4/7/2016,36,36,Thursday,4,0,1.5,2,,
4/8/2016,29,29,Friday,5,1,1.208333333,1,,
4/9/2016,37,37,Saturday,6,1,1.541666667,2,,
4/11/2016,38,38,Monday,1,0,1.583333333,2,,
4/12/2016,30,30,Tuesday,2,0,1.25,1,,
4/13/2016,37,37,Wednesday,3,0,1.541666667,2,,
4/14/2016,27,27,Thursday,4,0,1.125,1,,
4/15/2016,37,37,Friday,5,1,1.541666667,2,,
4/16/2016,79,79,Saturday,6,1,3.291666667,3,,
4/18/2016,39,39,Monday,1,0,1.625,2,,
4/19/2016,32,32,Tuesday,2,0,1.333333333,1,,
4/20/2016,29,29,Wednesday,3,0,1.208333333,1,,
4/21/2016,33,33,Thursday,4,0,1.375,1,,
4/22/2016,41,41,Friday,5,1,1.708333333,2,,
4/23/2016,38,38,Saturday,6,1,1.583333333,2,,
4/25/2016,39,39,Monday,1,0,1.625,2,,
