Row Labels,OJ,Grand Total,day of week,numerical,weekend,# of Boxes,Rounded # of Boxes,,
4/13/2017,56,56,Thursday,4,0,2.333333333,2,,
4/14/2017,64,64,Friday,5,1,2.666666667,3,,
4/15/2017,79,79,Saturday,6,1,3.291666667,3,,
4/17/2017,50,50,Monday,1,0,2.083333333,2,,
4/18/2017,71,71,Tuesday,2,0,2.958333333,3,,
4/19/2017,63,63,Wednesday,3,0,2.625,3,,
4/20/2017,51,51,Thursday,4,0,2.125,2,,
4/21/2017,91,91,Friday,5,1,3.791666667,4,,
4/22/2017,93,93,Saturday,6,1,3.875,4,,
4/24/2017,57,57,Monday,1,0,2.375,2,,
4/25/2017,43,43,Tuesday,2,0,1.791666667,2,,
4/26/2017,55,55,Wednesday,3,0,2.291666667,2,,
4/27/2017,55,55,Thursday,4,0,2.291666667,2,,
4/28/2017,85,85,Friday,5,1,3.541666667,4,,
4/29/2017,70,70,Saturday,6,1,2.916666667,3,,
5/1/2017,54,54,Monday,1,0,2.25,2,,
5/2/2017,62,62,Tuesday,2,0,2.583333333,3,,
5/3/2017,63,63,Wednesday,3,0,2.625,3,,
5/4/2017,53,53,Thursday,4,0,2.208333333,2,,
5/5/2017,57,57,Friday,5,1,2.375,2,,
5/6/2017,77,77,Saturday,6,1,3.208333333,3,,
5/8/2017,46,46,Monday,1,0,1.916666667,2,,
5/9/2017,41,41,Tuesday,2,0,1.708333333,2,,
5/10/2017,62,62,Wednesday,3,0,2.583333333,3,,
5/11/2017,59,59,Thursday,4,0,2.458333333,2,,
5/12/2017,61,61,Friday,5,1,2.541666667,3,,
5/13/2017,92,92,Saturday,6,1,3.833333333,4,,
5/15/2017,51,51,Monday,1,0,2.125,2,,
5/16/2017,47,47,Tuesday,2,0,1.958333333,2,,
5/17/2017,56,56,Wednesday,3,0,2.333333333,2,,
5/18/2017,59,59,Thursday,4,0,2.458333333,2,,
5/19/2017,87,87,Friday,5,1,3.625,4,,
5/20/2017,100,100,Saturday,6,1,4.166666667,4,,
5/22/2017,58,58,Monday,1,0,2.416666667,2,,
5/23/2017,54,54,Tuesday,2,0,2.25,2,,
5/24/2017,73,73,Wednesday,3,0,3.041666667,3,,
5/25/2017,83,83,Thursday,4,0,3.458333333,3,,
5/26/2017,53,53,Friday,5,1,2.208333333,2,,
5/27/2017,56,56,Saturday,6,1,2.333333333,2,,
5/29/2017,1,1,Monday,1,0,0.041666667,0,,
5/30/2017,50,50,Tuesday,2,0,2.083333333,2,,
5/31/2017,51,51,Wednesday,3,0,2.125,2,,
6/1/2017,54,54,Thursday,4,0,2.25,2,,
6/2/2017,56,56,Friday,5,1,2.333333333,2,,
6/3/2017,87,87,Saturday,6,1,3.625,4,,
6/5/2017,52,52,Monday,1,0,2.166666667,2,,
6/6/2017,39,39,Tuesday,2,0,1.625,2,,
6/7/2017,48,48,Wednesday,3,0,2,2,,
6/8/2017,63,63,Thursday,4,0,2.625,3,,
6/9/2017,46,46,Friday,5,1,1.916666667,2,,
6/10/2017,83,83,Saturday,6,1,3.458333333,3,,
6/12/2017,38,38,Monday,1,0,1.583333333,2,,
6/13/2017,36,36,Tuesday,2,0,1.5,2,,
6/14/2017,46,46,Wednesday,3,0,1.916666667,2,,
6/15/2017,45,45,Thursday,4,0,1.875,2,,
6/16/2017,86,86,Friday,5,1,3.583333333,4,,
6/17/2017,65,65,Saturday,6,1,2.708333333,3,,
6/19/2017,47,47,Monday,1,0,1.958333333,2,,
6/20/2017,51,51,Tuesday,2,0,2.125,2,,
6/21/2017,37,37,Wednesday,3,0,1.541666667,2,,
6/22/2017,47,47,Thursday,4,0,1.958333333,2,,
6/23/2017,36,36,Friday,5,1,1.5,2,,
6/24/2017,74,74,Saturday,6,1,3.083333333,3,,
6/26/2017,54,54,Monday,1,0,2.25,2,,
6/27/2017,43,43,Tuesday,2,0,1.791666667,2,,
6/28/2017,49,49,Wednesday,3,0,2.041666667,2,,
6/29/2017,50,50,Thursday,4,0,2.083333333,2,,
6/30/2017,63,63,Friday,5,1,2.625,3,,
7/1/2017,58,58,Saturday,6,1,2.416666667,2,,
7/3/2017,38,38,Monday,1,0,1.583333333,2,,
7/5/2017,36,36,Wednesday,3,0,1.5,2,,
7/6/2017,49,49,Thursday,4,0,2.041666667,2,,
7/7/2017,39,39,Friday,5,1,1.625,2,,
7/8/2017,33,33,Saturday,6,1,1.375,1,,
7/10/2017,46,46,Monday,1,0,1.916666667,2,,
7/11/2017,44,44,Tuesday,2,0,1.833333333,2,,
7/12/2017,73,73,Wednesday,3,0,3.041666667,3,,
7/13/2017,46,46,Thursday,4,0,1.916666667,2,,
7/14/2017,36,36,Friday,5,1,1.5,2,,
7/15/2017,62,62,Saturday,6,1,2.583333333,3,,
7/17/2017,42,42,Monday,1,0,1.75,2,,
7/18/2017,44,44,Tuesday,2,0,1.833333333,2,,
7/19/2017,52,52,Wednesday,3,0,2.166666667,2,,
7/20/2017,41,41,Thursday,4,0,1.708333333,2,,
7/21/2017,55,55,Friday,5,1,2.291666667,2,,
7/22/2017,58,58,Saturday,6,1,2.416666667,2,,
7/24/2017,37,37,Monday,1,0,1.541666667,2,,
7/25/2017,47,47,Tuesday,2,0,1.958333333,2,,
7/26/2017,65,65,Wednesday,3,0,2.708333333,3,,
7/27/2017,54,54,Thursday,4,0,2.25,2,,
7/28/2017,104,104,Friday,5,1,4.333333333,4,,
7/29/2017,69,69,Saturday,6,1,2.875,3,,
7/31/2017,41,41,Monday,1,0,1.708333333,2,,
8/1/2017,190,190,Tuesday,2,0,7.916666667,8,,
8/5/2017,96,96,Saturday,6,1,4,4,,
8/7/2017,38,38,Monday,1,0,1.583333333,2,,
8/8/2017,39,39,Tuesday,2,0,1.625,2,,
8/9/2017,58,58,Wednesday,3,0,2.416666667,2,,
8/10/2017,43,43,Thursday,4,0,1.791666667,2,,
8/11/2017,68,68,Friday,5,1,2.833333333,3,,
8/12/2017,67,67,Saturday,6,1,2.791666667,3,,
8/14/2017,38,38,Monday,1,0,1.583333333,2,,
8/15/2017,69,69,Tuesday,2,0,2.875,3,,
8/16/2017,33,33,Wednesday,3,0,1.375,1,,
8/17/2017,46,46,Thursday,4,0,1.916666667,2,,
8/18/2017,60,60,Friday,5,1,2.5,3,,
8/19/2017,68,68,Saturday,6,1,2.833333333,3,,
8/21/2017,64,64,Monday,1,0,2.666666667,3,,
8/22/2017,48,48,Tuesday,2,0,2,2,,
8/23/2017,43,43,Wednesday,3,0,1.791666667,2,,
8/24/2017,45,45,Thursday,4,0,1.875,2,,
8/25/2017,62,62,Friday,5,1,2.583333333,3,,
8/26/2017,86,86,Saturday,6,1,3.583333333,4,,
8/28/2017,34,34,Monday,1,0,1.416666667,1,,
8/29/2017,38,38,Tuesday,2,0,1.583333333,2,,
8/30/2017,44,44,Wednesday,3,0,1.833333333,2,,
8/31/2017,52,52,Thursday,4,0,2.166666667,2,,
9/1/2017,74,74,Friday,5,1,3.083333333,3,,
9/2/2017,69,69,Saturday,6,1,2.875,3,,
9/4/2017,3,3,Monday,1,0,0.125,0,,
9/5/2017,44,44,Tuesday,2,0,1.833333333,2,,
9/6/2017,47,47,Wednesday,3,0,1.958333333,2,,
9/7/2017,60,60,Thursday,4,0,2.5,3,,
9/8/2017,72,72,Friday,5,1,3,3,,
9/9/2017,90,90,Saturday,6,1,3.75,4,,
9/11/2017,39,39,Monday,1,0,1.625,2,,
9/12/2017,48,48,Tuesday,2,0,2,2,,
9/13/2017,48,48,Wednesday,3,0,2,2,,
9/14/2017,48,48,Thursday,4,0,2,2,,
9/15/2017,63,63,Friday,5,1,2.625,3,,
9/16/2017,107,107,Saturday,6,1,4.458333333,4,,
9/18/2017,54,54,Monday,1,0,2.25,2,,
9/19/2017,40,40,Tuesday,2,0,1.666666667,2,,
9/20/2017,45,45,Wednesday,3,0,1.875,2,,
9/21/2017,46,46,Thursday,4,0,1.916666667,2,,
9/22/2017,72,72,Friday,5,1,3,3,,
9/23/2017,78,78,Saturday,6,1,3.25,3,,
9/25/2017,46,46,Monday,1,0,1.916666667,2,,
9/26/2017,49,49,Tuesday,2,0,2.041666667,2,,
9/27/2017,52,52,Wednesday,3,0,2.166666667,2,,
9/28/2017,54,54,Thursday,4,0,2.25,2,,
9/29/2017,58,58,Friday,5,1,2.416666667,2,,
9/30/2017,69,69,Saturday,6,1,2.875,3,,
10/2/2017,44,44,Monday,1,0,1.833333333,2,,
10/3/2017,37,37,Tuesday,2,0,1.541666667,2,,
10/4/2017,46,46,Wednesday,3,0,1.916666667,2,,
10/5/2017,54,54,Thursday,4,0,2.25,2,,
10/6/2017,87,87,Friday,5,1,3.625,4,,
10/7/2017,91,91,Saturday,6,1,3.791666667,4,,
10/9/2017,53,53,Monday,1,0,2.208333333,2,,
10/10/2017,52,52,Tuesday,2,0,2.166666667,2,,
10/11/2017,64,64,Wednesday,3,0,2.666666667,3,,
10/12/2017,40,40,Thursday,4,0,1.666666667,2,,
10/13/2017,71,71,Friday,5,1,2.958333333,3,,
10/14/2017,88,88,Saturday,6,1,3.666666667,4,,
10/16/2017,31,31,Monday,1,0,1.291666667,1,,
10/17/2017,43,43,Tuesday,2,0,1.791666667,2,,
10/18/2017,46,46,Wednesday,3,0,1.916666667,2,,
10/19/2017,45,45,Thursday,4,0,1.875,2,,
10/20/2017,80,80,Friday,5,1,3.333333333,3,,
10/21/2017,95,95,Saturday,6,1,3.958333333,4,,
10/23/2017,29,29,Monday,1,0,1.208333333,1,,
10/24/2017,58,58,Tuesday,2,0,2.416666667,2,,
10/25/2017,52,52,Wednesday,3,0,2.166666667,2,,
10/26/2017,57,57,Thursday,4,0,2.375,2,,
10/27/2017,72,72,Friday,5,1,3,3,,
10/28/2017,84,84,Saturday,6,1,3.5,4,,
10/30/2017,46,46,Monday,1,0,1.916666667,2,,
10/31/2017,50,50,Tuesday,2,0,2.083333333,2,,
11/1/2017,63,63,Wednesday,3,0,2.625,3,,
11/2/2017,48,48,Thursday,4,0,2,2,,
11/3/2017,66,66,Friday,5,1,2.75,3,,
11/4/2017,88,88,Saturday,6,1,3.666666667,4,,
11/6/2017,54,54,Monday,1,0,2.25,2,,
11/7/2017,54,54,Tuesday,2,0,2.25,2,,
11/8/2017,58,58,Wednesday,3,0,2.416666667,2,,
11/9/2017,67,67,Thursday,4,0,2.791666667,3,,
11/10/2017,66,66,Friday,5,1,2.75,3,,
11/11/2017,103,103,Saturday,6,1,4.291666667,4,,
11/13/2017,37,37,Monday,1,0,1.541666667,2,,
11/14/2017,45,45,Tuesday,2,0,1.875,2,,
11/15/2017,49,49,Wednesday,3,0,2.041666667,2,,
11/16/2017,54,54,Thursday,4,0,2.25,2,,
11/17/2017,78,78,Friday,5,1,3.25,3,,
11/18/2017,67,67,Saturday,6,1,2.791666667,3,,
11/20/2017,50,50,Monday,1,0,2.083333333,2,,
11/21/2017,52,52,Tuesday,2,0,2.166666667,2,,
11/22/2017,47,47,Wednesday,3,0,1.958333333,2,,
11/24/2017,57,57,Friday,5,1,2.375,2,,
11/25/2017,54,54,Saturday,6,1,2.25,2,,
11/27/2017,35,35,Monday,1,0,1.458333333,1,,
11/28/2017,27,27,Tuesday,2,0,1.125,1,,
11/29/2017,44,44,Wednesday,3,0,1.833333333,2,,
11/30/2017,44,44,Thursday,4,0,1.833333333,2,,
12/1/2017,45,45,Friday,5,1,1.875,2,,
12/2/2017,58,58,Saturday,6,1,2.416666667,2,,
12/4/2017,55,55,Monday,1,0,2.291666667,2,,
12/5/2017,49,49,Tuesday,2,0,2.041666667,2,,
12/6/2017,48,48,Wednesday,3,0,2,2,,
12/7/2017,49,49,Thursday,4,0,2.041666667,2,,
12/8/2017,58,58,Friday,5,1,2.416666667,2,,
12/9/2017,7,7,Saturday,6,1,0.291666667,0,,
12/11/2017,46,46,Monday,1,0,1.916666667,2,,
12/12/2017,47,47,Tuesday,2,0,1.958333333,2,,
12/13/2017,46,46,Wednesday,3,0,1.916666667,2,,
12/14/2017,55,55,Thursday,4,0,2.291666667,2,,
12/15/2017,71,71,Friday,5,1,2.958333333,3,,
12/16/2017,78,78,Saturday,6,1,3.25,3,,
12/18/2017,48,48,Monday,1,0,2,2,,
12/19/2017,54,54,Tuesday,2,0,2.25,2,,
12/20/2017,56,56,Wednesday,3,0,2.333333333,2,,
12/21/2017,64,64,Thursday,4,0,2.666666667,3,,
12/22/2017,84,84,Friday,5,1,3.5,4,,
12/23/2017,72,72,Saturday,6,1,3,3,,
12/26/2017,45,45,Tuesday,2,0,1.875,2,,
12/27/2017,43,43,Wednesday,3,0,1.791666667,2,,
12/28/2017,42,42,Thursday,4,0,1.75,2,,
12/29/2017,57,57,Friday,5,1,2.375,2,,
12/30/2017,62,62,Saturday,6,1,2.583333333,3,,
1/1/2018,1,1,Monday,1,0,0.041666667,0,,
1/2/2018,42,42,Tuesday,2,0,1.75,2,,
1/3/2018,38,38,Wednesday,3,0,1.583333333,2,,
1/4/2018,47,47,Thursday,4,0,1.958333333,2,,
1/5/2018,58,58,Friday,5,1,2.416666667,2,,
1/6/2018,75,75,Saturday,6,1,3.125,3,,
1/8/2018,46,46,Monday,1,0,1.916666667,2,,
1/9/2018,50,50,Tuesday,2,0,2.083333333,2,,
1/10/2018,40,40,Wednesday,3,0,1.666666667,2,,
1/11/2018,47,47,Thursday,4,0,1.958333333,2,,
1/12/2018,63,63,Friday,5,1,2.625,3,,
1/13/2018,79,79,Saturday,6,1,3.291666667,3,,
1/15/2018,35,35,Monday,1,0,1.458333333,1,,
1/16/2018,44,44,Tuesday,2,0,1.833333333,2,,
1/18/2018,9,9,Thursday,4,0,0.375,0,,
1/19/2018,65,65,Friday,5,1,2.708333333,3,,
1/20/2018,69,69,Saturday,6,1,2.875,3,,
1/22/2018,41,41,Monday,1,0,1.708333333,2,,
1/23/2018,55,55,Tuesday,2,0,2.291666667,2,,
1/24/2018,45,45,Wednesday,3,0,1.875,2,,
1/25/2018,45,45,Thursday,4,0,1.875,2,,
1/26/2018,77,77,Friday,5,1,3.208333333,3,,
1/27/2018,79,79,Saturday,6,1,3.291666667,3,,
1/29/2018,37,37,Monday,1,0,1.541666667,2,,
1/30/2018,44,44,Tuesday,2,0,1.833333333,2,,
1/31/2018,32,32,Wednesday,3,0,1.333333333,1,,
2/1/2018,60,60,Thursday,4,0,2.5,3,,
2/2/2018,39,39,Friday,5,1,1.625,2,,
2/3/2018,88,88,Saturday,6,1,3.666666667,4,,
2/5/2018,49,49,Monday,1,0,2.041666667,2,,
2/6/2018,36,36,Tuesday,2,0,1.5,2,,
2/7/2018,40,40,Wednesday,3,0,1.666666667,2,,
2/8/2018,43,43,Thursday,4,0,1.791666667,2,,
2/9/2018,65,65,Friday,5,1,2.708333333,3,,
2/10/2018,101,101,Saturday,6,1,4.208333333,4,,
2/12/2018,60,60,Monday,1,0,2.5,3,,
2/13/2018,51,51,Tuesday,2,0,2.125,2,,
2/14/2018,35,35,Wednesday,3,0,1.458333333,1,,
2/15/2018,48,48,Thursday,4,0,2,2,,
2/16/2018,58,58,Friday,5,1,2.416666667,2,,
2/17/2018,74,74,Saturday,6,1,3.083333333,3,,
2/19/2018,35,35,Monday,1,0,1.458333333,1,,
2/20/2018,62,62,Tuesday,2,0,2.583333333,3,,
2/21/2018,43,43,Wednesday,3,0,1.791666667,2,,
2/22/2018,50,50,Thursday,4,0,2.083333333,2,,
2/23/2018,40,40,Friday,5,1,1.666666667,2,,
2/24/2018,54,54,Saturday,6,1,2.25,2,,
2/26/2018,53,53,Monday,1,0,2.208333333,2,,
2/27/2018,48,48,Tuesday,2,0,2,2,,
2/28/2018,42,42,Wednesday,3,0,1.75,2,,
3/1/2018,40,40,Thursday,4,0,1.666666667,2,,
3/2/2018,68,68,Friday,5,1,2.833333333,3,,
3/3/2018,101,101,Saturday,6,1,4.208333333,4,,
3/5/2018,43,43,Monday,1,0,1.791666667,2,,
3/6/2018,35,35,Tuesday,2,0,1.458333333,1,,
3/7/2018,57,57,Wednesday,3,0,2.375,2,,
3/8/2018,48,48,Thursday,4,0,2,2,,
3/9/2018,70,70,Friday,5,1,2.916666667,3,,
3/10/2018,112,112,Saturday,6,1,4.666666667,5,,
3/12/2018,39,39,Monday,1,0,1.625,2,,
3/13/2018,39,39,Tuesday,2,0,1.625,2,,
3/14/2018,52,52,Wednesday,3,0,2.166666667,2,,
3/15/2018,37,37,Thursday,4,0,1.541666667,2,,
3/16/2018,69,69,Friday,5,1,2.875,3,,
3/17/2018,89,89,Saturday,6,1,3.708333333,4,,
3/19/2018,58,58,Monday,1,0,2.416666667,2,,
3/20/2018,48,48,Tuesday,2,0,2,2,,
3/21/2018,80,80,Wednesday,3,0,3.333333333,3,,
3/22/2018,47,47,Thursday,4,0,1.958333333,2,,
3/23/2018,72,72,Friday,5,1,3,3,,
3/24/2018,87,87,Saturday,6,1,3.625,4,,
3/26/2018,38,38,Monday,1,0,1.583333333,2,,
3/27/2018,53,53,Tuesday,2,0,2.208333333,2,,
3/28/2018,54,54,Wednesday,3,0,2.25,2,,
3/29/2018,52,52,Thursday,4,0,2.166666667,2,,
3/30/2018,70,70,Friday,5,1,2.916666667,3,,
3/31/2018,70,70,Saturday,6,1,2.916666667,3,,
4/2/2018,30,30,Monday,1,0,1.25,1,,
4/3/2018,38,38,Tuesday,2,0,1.583333333,2,,
4/4/2018,39,39,Wednesday,3,0,1.625,2,,
4/5/2018,42,42,Thursday,4,0,1.75,2,,
4/6/2018,50,50,Friday,5,1,2.083333333,2,,
4/7/2018,66,66,Saturday,6,1,2.75,3,,
4/9/2018,36,36,Monday,1,0,1.5,2,,
4/10/2018,48,48,Tuesday,2,0,2,2,,
4/11/2018,58,58,Wednesday,3,0,2.416666667,2,,
4/12/2018,55,55,Thursday,4,0,2.291666667,2,,
4/13/2018,74,74,Friday,5,1,3.083333333,3,,
4/14/2018,79,79,Saturday,6,1,3.291666667,3,,
4/16/2018,31,31,Monday,1,0,1.291666667,1,,
4/17/2018,55,55,Tuesday,2,0,2.291666667,2,,
4/18/2018,37,37,Wednesday,3,0,1.541666667,2,,
4/19/2018,43,43,Thursday,4,0,1.791666667,2,,
4/20/2018,57,57,Friday,5,1,2.375,2,,
4/21/2018,79,79,Saturday,6,1,3.291666667,3,,
4/23/2018,46,46,Monday,1,0,1.916666667,2,,
4/24/2018,43,43,Tuesday,2,0,1.791666667,2,,
4/25/2018,56,56,Wednesday,3,0,2.333333333,2,,
4/26/2018,85,85,Thursday,4,0,3.541666667,4,,
4/27/2018,65,65,Friday,5,1,2.708333333,3,,
4/28/2018,84,84,Saturday,6,1,3.5,4,,
4/30/2018,42,42,Monday,1,0,1.75,2,,
5/1/2018,40,40,Tuesday,2,0,1.666666667,2,,
5/2/2018,54,54,Wednesday,3,0,2.25,2,,
5/3/2018,59,59,Thursday,4,0,2.458333333,2,,
5/4/2018,65,65,Friday,5,1,2.708333333,3,,
5/5/2018,119,119,Saturday,6,1,4.958333333,5,,
5/7/2018,43,43,Monday,1,0,1.791666667,2,,
5/8/2018,42,42,Tuesday,2,0,1.75,2,,
5/9/2018,45,45,Wednesday,3,0,1.875,2,,
5/10/2018,63,63,Thursday,4,0,2.625,3,,
5/11/2018,69,69,Friday,5,1,2.875,3,,
5/12/2018,81,81,Saturday,6,1,3.375,3,,
5/14/2018,47,47,Monday,1,0,1.958333333,2,,
5/15/2018,51,51,Tuesday,2,0,2.125,2,,
5/16/2018,60,60,Wednesday,3,0,2.5,3,,
5/17/2018,32,32,Thursday,4,0,1.333333333,1,,
5/18/2018,66,66,Friday,5,1,2.75,3,,
5/19/2018,84,84,Saturday,6,1,3.5,4,,
5/21/2018,47,47,Monday,1,0,1.958333333,2,,
5/22/2018,47,47,Tuesday,2,0,1.958333333,2,,
5/23/2018,72,72,Wednesday,3,0,3,3,,
5/24/2018,63,63,Thursday,4,0,2.625,3,,
5/25/2018,73,73,Friday,5,1,3.041666667,3,,
5/26/2018,53,53,Saturday,6,1,2.208333333,2,,
5/28/2018,1,1,Monday,1,0,0.041666667,0,,
5/29/2018,59,59,Tuesday,2,0,2.458333333,2,,
5/30/2018,55,55,Wednesday,3,0,2.291666667,2,,
5/31/2018,55,55,Thursday,4,0,2.291666667,2,,
6/1/2018,62,62,Friday,5,1,2.583333333,3,,
6/2/2018,77,77,Saturday,6,1,3.208333333,3,,
6/4/2018,59,59,Monday,1,0,2.458333333,2,,
6/5/2018,48,48,Tuesday,2,0,2,2,,
6/6/2018,32,32,Wednesday,3,0,1.333333333,1,,
6/7/2018,38,38,Thursday,4,0,1.583333333,2,,
6/8/2018,44,44,Friday,5,1,1.833333333,2,,
6/9/2018,55,55,Saturday,6,1,2.291666667,2,,
6/11/2018,50,50,Monday,1,0,2.083333333,2,,
6/12/2018,51,51,Tuesday,2,0,2.125,2,,
6/13/2018,52,52,Wednesday,3,0,2.166666667,2,,
6/14/2018,54,54,Thursday,4,0,2.25,2,,
6/15/2018,48,48,Friday,5,1,2,2,,
6/16/2018,49,49,Saturday,6,1,2.041666667,2,,
6/18/2018,41,41,Monday,1,0,1.708333333,2,,
6/19/2018,46,46,Tuesday,2,0,1.916666667,2,,
6/20/2018,47,47,Wednesday,3,0,1.958333333,2,,
6/21/2018,49,49,Thursday,4,0,2.041666667,2,,
6/22/2018,70,70,Friday,5,1,2.916666667,3,,
6/23/2018,56,56,Saturday,6,1,2.333333333,2,,
6/25/2018,43,43,Monday,1,0,1.791666667,2,,
6/26/2018,49,49,Tuesday,2,0,2.041666667,2,,
6/27/2018,42,42,Wednesday,3,0,1.75,2,,
6/28/2018,41,41,Thursday,4,0,1.708333333,2,,
6/29/2018,62,62,Friday,5,1,2.583333333,3,,
6/30/2018,81,81,Saturday,6,1,3.375,3,,
7/2/2018,29,29,Monday,1,0,1.208333333,1,,
7/3/2018,29,29,Tuesday,2,0,1.208333333,1,,
7/4/2018,1,1,Wednesday,3,0,0.041666667,0,,
7/5/2018,25,25,Thursday,4,0,1.041666667,1,,
7/6/2018,42,42,Friday,5,1,1.75,2,,
7/7/2018,55,55,Saturday,6,1,2.291666667,2,,
7/9/2018,38,38,Monday,1,0,1.583333333,2,,
7/10/2018,48,48,Tuesday,2,0,2,2,,
7/11/2018,42,42,Wednesday,3,0,1.75,2,,
7/12/2018,57,57,Thursday,4,0,2.375,2,,
7/13/2018,55,55,Friday,5,1,2.291666667,2,,
7/14/2018,69,69,Saturday,6,1,2.875,3,,
7/16/2018,55,55,Monday,1,0,2.291666667,2,,
7/17/2018,37,37,Tuesday,2,0,1.541666667,2,,
7/18/2018,50,50,Wednesday,3,0,2.083333333,2,,
7/19/2018,56,56,Thursday,4,0,2.333333333,2,,
7/20/2018,54,54,Friday,5,1,2.25,2,,
7/21/2018,72,72,Saturday,6,1,3,3,,
7/23/2018,34,34,Monday,1,0,1.416666667,1,,
7/24/2018,37,37,Tuesday,2,0,1.541666667,2,,
7/25/2018,51,51,Wednesday,3,0,2.125,2,,
7/26/2018,45,45,Thursday,4,0,1.875,2,,
7/27/2018,78,78,Friday,5,1,3.25,3,,
7/28/2018,66,66,Saturday,6,1,2.75,3,,
7/30/2018,52,52,Monday,1,0,2.166666667,2,,
7/31/2018,53,53,Tuesday,2,0,2.208333333,2,,
8/1/2018,50,50,Wednesday,3,0,2.083333333,2,,
8/2/2018,42,42,Thursday,4,0,1.75,2,,
8/3/2018,40,40,Friday,5,1,1.666666667,2,,
8/4/2018,64,64,Saturday,6,1,2.666666667,3,,
8/6/2018,32,32,Monday,1,0,1.333333333,1,,
8/7/2018,50,50,Tuesday,2,0,2.083333333,2,,
8/8/2018,42,42,Wednesday,3,0,1.75,2,,
8/9/2018,46,46,Thursday,4,0,1.916666667,2,,
8/10/2018,67,67,Friday,5,1,2.791666667,3,,
8/11/2018,68,68,Saturday,6,1,2.833333333,3,,
8/13/2018,28,28,Monday,1,0,1.166666667,1,,
8/14/2018,43,43,Tuesday,2,0,1.791666667,2,,
8/15/2018,35,35,Wednesday,3,0,1.458333333,1,,
8/16/2018,52,52,Thursday,4,0,2.166666667,2,,
8/17/2018,63,63,Friday,5,1,2.625,3,,
8/18/2018,64,64,Saturday,6,1,2.666666667,3,,
8/20/2018,46,46,Monday,1,0,1.916666667,2,,
8/21/2018,49,49,Tuesday,2,0,2.041666667,2,,
8/22/2018,51,51,Wednesday,3,0,2.125,2,,
8/23/2018,59,59,Thursday,4,0,2.458333333,2,,
8/24/2018,56,56,Friday,5,1,2.333333333,2,,
8/25/2018,56,56,Saturday,6,1,2.333333333,2,,
8/27/2018,35,35,Monday,1,0,1.458333333,1,,
8/28/2018,53,53,Tuesday,2,0,2.208333333,2,,
8/29/2018,36,36,Wednesday,3,0,1.5,2,,
8/30/2018,48,48,Thursday,4,0,2,2,,
8/31/2018,74,74,Friday,5,1,3.083333333,3,,
9/1/2018,95,95,Saturday,6,1,3.958333333,4,,
9/3/2018,1,1,Monday,1,0,0.041666667,0,,
9/4/2018,28,28,Tuesday,2,0,1.166666667,1,,
9/5/2018,41,41,Wednesday,3,0,1.708333333,2,,
9/6/2018,53,53,Thursday,4,0,2.208333333,2,,
9/7/2018,59,59,Friday,5,1,2.458333333,2,,
9/8/2018,92,92,Saturday,6,1,3.833333333,4,,
9/10/2018,41,41,Monday,1,0,1.708333333,2,,
9/11/2018,48,48,Tuesday,2,0,2,2,,
9/12/2018,37,37,Wednesday,3,0,1.541666667,2,,
9/13/2018,54,54,Thursday,4,0,2.25,2,,
9/14/2018,55,55,Friday,5,1,2.291666667,2,,
9/15/2018,113,113,Saturday,6,1,4.708333333,5,,
9/17/2018,39,39,Monday,1,0,1.625,2,,
9/18/2018,52,52,Tuesday,2,0,2.166666667,2,,
9/19/2018,39,39,Wednesday,3,0,1.625,2,,
9/20/2018,42,42,Thursday,4,0,1.75,2,,
9/21/2018,61,61,Friday,5,1,2.541666667,3,,
9/22/2018,84,84,Saturday,6,1,3.5,4,,
9/24/2018,41,41,Monday,1,0,1.708333333,2,,
9/25/2018,50,50,Tuesday,2,0,2.083333333,2,,
9/26/2018,52,52,Wednesday,3,0,2.166666667,2,,
9/27/2018,43,43,Thursday,4,0,1.791666667,2,,
9/28/2018,42,42,Friday,5,1,1.75,2,,
9/29/2018,72,72,Saturday,6,1,3,3,,
10/1/2018,43,43,Monday,1,0,1.791666667,2,,
10/2/2018,58,58,Tuesday,2,0,2.416666667,2,,
10/3/2018,66,66,Wednesday,3,0,2.75,3,,
10/4/2018,54,54,Thursday,4,0,2.25,2,,
10/5/2018,66,66,Friday,5,1,2.75,3,,
10/6/2018,104,104,Saturday,6,1,4.333333333,4,,
10/8/2018,56,56,Monday,1,0,2.333333333,2,,
10/9/2018,46,46,Tuesday,2,0,1.916666667,2,,
10/10/2018,52,52,Wednesday,3,0,2.166666667,2,,
10/11/2018,56,56,Thursday,4,0,2.333333333,2,,
10/12/2018,84,84,Friday,5,1,3.5,4,,
10/13/2018,97,97,Saturday,6,1,4.041666667,4,,
10/15/2018,55,55,Monday,1,0,2.291666667,2,,
10/16/2018,41,41,Tuesday,2,0,1.708333333,2,,
10/17/2018,75,75,Wednesday,3,0,3.125,3,,
10/18/2018,40,40,Thursday,4,0,1.666666667,2,,
10/19/2018,68,68,Friday,5,1,2.833333333,3,,
10/20/2018,92,92,Saturday,6,1,3.833333333,4,,
10/22/2018,55,55,Monday,1,0,2.291666667,2,,
10/23/2018,40,40,Tuesday,2,0,1.666666667,2,,
10/24/2018,53,53,Wednesday,3,0,2.208333333,2,,
10/25/2018,46,46,Thursday,4,0,1.916666667,2,,
10/26/2018,78,78,Friday,5,1,3.25,3,,
10/27/2018,83,83,Saturday,6,1,3.458333333,3,,
10/29/2018,51,51,Monday,1,0,2.125,2,,
