,prediction,actual
0,1.942529320716858,1.916666667
1,2.4776933193206787,2.125
2,2.92734694480896,2.5
3,1.5789198875427246,1.083333333
4,1.7688144445419312,0.958333333
5,1.7689342498779297,2.166666667
6,1.7438035011291504,1.666666667
7,2.298825979232788,2.458333333
8,2.6135356426239014,2.583333333
9,1.5525760650634766,0.041666667
10,1.7250680923461914,1.958333333
11,1.8124008178710938,1.583333333
12,1.9794304370880127,1.875
13,2.476854085922241,3.416666667
14,3.1277072429656982,1.583333333
15,1.9938021898269653,1.416666667
16,2.172724723815918,1.875
17,2.0693981647491455,2.25
18,2.0549516677856445,3.416666667
19,2.075093984603882,2.958333333
20,1.8367165327072144,1.916666667
21,1.9831418991088867,1.625
22,2.098370313644409,1.583333333
23,2.1494100093841553,1.833333333
24,2.5927741527557373,3.166666667
25,3.0387446880340576,3.416666667
26,1.7128936052322388,1.75
27,1.9535841941833496,1.875
28,2.021740198135376,1.833333333
29,2.1280643939971924,1.625
30,2.6968801021575928,2.375
31,3.128221273422241,2.0
32,1.683539628982544,2.375
33,1.8068265914916992,1.958333333
34,1.9136669635772705,1.916666667
35,2.008753538131714,1.833333333
36,2.548337697982788,2.625
37,2.967109441757202,3.083333333
38,1.6893861293792725,2.333333333
39,1.936482548713684,1.291666667
40,2.039602518081665,1.625
41,2.023881196975708,1.333333333
42,2.5513265132904053,2.541666667
43,2.8749043941497803,3.541666667
44,1.585582971572876,2.0
45,1.8189282417297363,2.125
46,1.9002809524536133,1.791666667
47,2.115497350692749,1.75
48,2.6763572692871094,1.791666667
49,3.195237874984741,2.791666667
50,1.7013602256774902,2.5
51,1.849398136138916,1.833333333
52,1.9468101263046265,2.208333333
53,2.015547037124634,1.583333333
54,2.630112409591675,3.166666667
55,2.973700761795044,3.583333333
56,1.8202345371246338,2.625
57,2.0413599014282227,2.5
58,2.1593968868255615,1.791666667
59,2.279822826385498,1.833333333
60,2.7743759155273438,3.291666667
61,3.297991991043091,3.333333333
62,1.8980522155761719,2.041666667
63,2.043931484222412,2.541666667
64,2.124798536300659,1.791666667
65,2.2346270084381104,2.25
66,2.751647710800171,3.291666667
67,3.332697868347168,4.625
68,1.8969439268112183,2.166666667
69,2.2659168243408203,2.125
70,2.320514678955078,1.333333333
71,2.3664238452911377,2.458333333
72,2.60626482963562,2.125
73,3.027631998062134,4.166666667
74,1.9614598751068115,1.625
75,2.048057794570923,2.5
76,2.075761079788208,2.0
77,2.22426176071167,2.0
78,2.940553665161133,3.333333333
79,3.331857204437256,2.916666667
80,2.04101300239563,2.416666667
81,2.046536922454834,3.291666667
82,2.160423517227173,2.333333333
83,2.282036781311035,2.291666667
84,2.887171506881714,2.375
85,3.106722354888916,1.833333333
86,1.6691529750823975,2.208333333
87,2.129368543624878,2.458333333
88,2.145993232727051,2.208333333
89,2.6912550926208496,2.916666667
90,3.164759397506714,3.708333333
91,1.8201357126235962,2.083333333
92,2.149521589279175,1.833333333
93,2.2346932888031006,2.5
94,2.25539493560791,1.958333333
95,2.9453439712524414,2.625
96,3.3724100589752197,3.541666667
97,1.8616597652435303,2.25
98,2.05163311958313,2.875
99,2.152366876602173,2.125
100,2.2941324710845947,2.708333333
101,2.925114393234253,3.375
102,3.5075531005859375,3.333333333
103,2.023977041244507,3.125
104,2.193181276321411,1.458333333
105,2.3176052570343018,2.125
106,2.255220413208008,2.875
107,2.711233377456665,1.5
108,3.049105644226074,2.541666667
109,1.5812863111495972,2.083333333
110,2.0281717777252197,0.041666667
111,2.090773820877075,2.166666667
112,2.3125486373901367,2.583333333
113,2.7281110286712646,2.5
114,1.6833860874176025,1.333333333
115,1.8903279304504395,1.583333333
116,1.994834065437317,2.0
117,2.0801680088043213,2.0
118,2.5520870685577393,2.416666667
119,2.937382221221924,3.208333333
120,1.6090612411499023,1.541666667
121,1.9011619091033936,0.958333333
122,1.9726753234863281,1.666666667
123,1.923572301864624,1.875
124,2.437511682510376,2.708333333
125,2.843928813934326,2.416666667
126,1.6038708686828613,1.875
127,1.7312456369400024,1.375
128,1.8333652019500732,1.875
129,1.9414905309677124,1.958333333
130,2.5131185054779053,2.625
131,2.9419991970062256,3.708333333
132,1.6441693305969238,1.708333333
