,prediction,actual
0,2.1024529933929443,1.916666667
1,2.6124370098114014,2.125
2,3.0995237827301025,2.5
3,1.8143943548202515,1.083333333
4,1.9490258693695068,0.958333333
5,1.8509482145309448,2.166666667
6,1.83565092086792,1.666666667
7,2.427767038345337,2.458333333
8,2.8082516193389893,2.583333333
9,1.7404942512512207,0.041666667
10,1.847697138786316,1.958333333
11,1.8836321830749512,1.583333333
12,2.2578930854797363,1.875
13,2.6291840076446533,3.416666667
14,3.197505235671997,1.583333333
15,2.130786180496216,1.416666667
16,2.1391398906707764,1.875
17,2.220254421234131,2.25
18,2.155987501144409,3.416666667
19,2.550035238265991,2.958333333
20,1.9414644241333008,1.916666667
21,2.0763425827026367,1.625
22,2.1570041179656982,1.583333333
23,2.3040990829467773,1.833333333
24,2.8172152042388916,3.166666667
25,3.1882846355438232,3.416666667
26,1.879119873046875,1.75
27,2.0779526233673096,1.875
28,2.0917794704437256,1.833333333
29,2.318427801132202,1.625
30,2.886061906814575,2.375
31,3.1904869079589844,2.0
32,1.8745259046554565,2.375
33,1.972936749458313,1.958333333
34,2.04323410987854,1.916666667
35,2.147944450378418,1.833333333
36,2.6326992511749268,2.625
37,3.080400228500366,3.083333333
38,1.849220871925354,2.333333333
39,2.1486659049987793,1.291666667
40,2.1951005458831787,1.625
41,2.194197177886963,1.333333333
42,2.6788718700408936,2.541666667
43,2.9428272247314453,3.541666667
44,1.7838482856750488,2.0
45,2.002931833267212,2.125
46,1.9642857313156128,1.791666667
47,2.3119490146636963,1.75
48,2.7825241088867188,1.791666667
49,3.2491915225982666,2.791666667
50,1.8640177249908447,2.5
51,2.0584285259246826,1.833333333
52,2.111734628677368,2.208333333
53,2.181793451309204,1.583333333
54,2.756502389907837,3.166666667
55,3.0693299770355225,3.583333333
56,1.938161015510559,2.625
57,2.1733200550079346,2.5
58,2.2346749305725098,1.791666667
59,2.43440318107605,1.833333333
60,2.9874067306518555,3.291666667
61,3.3848016262054443,3.333333333
62,2.012080430984497,2.041666667
63,2.207904100418091,2.541666667
64,2.2494540214538574,1.791666667
65,2.4168286323547363,2.25
66,2.972810983657837,3.291666667
67,3.447716474533081,4.625
68,2.0226919651031494,2.166666667
69,2.2439301013946533,2.125
70,2.3457789421081543,1.333333333
71,2.4474174976348877,2.458333333
72,2.9481029510498047,2.125
73,3.4756033420562744,4.166666667
74,1.9483762979507446,1.625
75,2.146606206893921,2.5
76,2.137268304824829,2.0
77,2.3468844890594482,2.0
78,2.981090545654297,3.333333333
79,3.336487054824829,2.916666667
80,2.010521411895752,2.416666667
81,2.1572763919830322,3.291666667
82,2.30069637298584,2.333333333
83,2.4517405033111572,2.291666667
84,3.141350507736206,2.375
85,2.7580807209014893,1.833333333
86,1.8402961492538452,2.208333333
87,2.406588554382324,2.458333333
88,2.4379959106445312,2.208333333
89,2.7745816707611084,2.916666667
90,3.28312611579895,3.708333333
91,1.9706100225448608,2.083333333
92,2.2305846214294434,1.833333333
93,2.333198308944702,2.5
94,2.4018666744232178,1.958333333
95,3.107374906539917,2.625
96,3.4144866466522217,3.541666667
97,2.002073287963867,2.25
98,2.1895711421966553,2.875
99,2.2641751766204834,2.125
100,2.451028823852539,2.708333333
101,3.0660767555236816,3.375
102,3.5724356174468994,3.333333333
103,2.1170828342437744,3.125
104,2.3121182918548584,1.458333333
105,2.438359498977661,2.125
106,2.376265287399292,2.875
107,2.88973331451416,1.5
108,2.537867784500122,2.541666667
109,1.6732475757598877,2.083333333
110,2.2566847801208496,0.041666667
111,2.173964023590088,2.166666667
112,2.2056005001068115,2.583333333
113,2.9525797367095947,2.5
114,2.062227487564087,1.333333333
115,2.261157274246216,1.583333333
116,2.2783427238464355,2.0
117,2.252650499343872,2.0
118,2.67988657951355,2.416666667
119,3.1001813411712646,3.208333333
120,1.825294017791748,1.541666667
121,2.0374770164489746,0.958333333
122,2.090425968170166,1.666666667
123,2.048408269882202,1.875
124,2.542508840560913,2.708333333
125,3.037999391555786,2.416666667
126,1.815854549407959,1.875
127,1.8895533084869385,1.375
128,1.9243905544281006,1.875
129,2.109194040298462,1.958333333
130,2.654788017272949,2.625
131,3.1138484477996826,3.708333333
132,1.8260577917099,1.708333333
